_id,name_cn,name_en,type,show_time,score,avatar
1297466,釜山行2：半岛,부산행2-반도,"动作,惊悚",2020-07-15韩国上映,6.7,https://p1.meituan.net/movie/3a2709ccdccf60733ca335f512952a11208033.jpg@1l_1e_1c_128w_180h
344990,唐人街探案2,Detective Chinatown 2,"喜剧,动作,悬疑",2018-02-16中国大陆上映,9.0,https://p1.meituan.net/movie/efb0a5e3989f45c4f3e22108bcc27ed71037307.jpg@1l_1e_1c_128w_180h
343203,釜山行,부산행,"动作,惊悚,灾难",2016-07-20韩国上映,8.9,https://p1.meituan.net/movie/9a0cc541dba6851c92143f0cc0d97bbe270276.jpg@1l_1e_1c_128w_180h
1237925,第一次的离别,A First Farewell,"剧情,家庭",2020-07-20中国大陆上映,暂无评分,https://p1.meituan.net/moviemachine/4ea68a0de8949d99fd7ff426b84d3c381761878.jpg@1l_1e_1c_128w_180h
1250952,天气之子,天気の子,"爱情,动画,奇幻",2019-11-01中国大陆上映,9.0,https://p0.meituan.net/movie/ecca4f0b95340b2c57006a1bace4c3f91386100.jpg@1l_1e_1c_128w_180h
1218029,少年的你,Better Days,"爱情,青春,剧情",2019-10-25中国大陆上映,9.4,https://p0.meituan.net/movie/7b437e3a0d08d10e374ddc34f71b88fe3379132.jpg@1l_1e_1c_128w_180h
1215421,我在世界城等你,,短片,2016-05-16中国大陆上映,暂无评分,https://p0.meituan.net/movie/6cc01ad7cb5dc1c80860ef937e46fa2933816.jpg@1l_1e_1c_128w_180h
1286836,我是大哥大 电影版,今日から俺は！！劇場版,喜剧,2020-07-17日本上映,暂无评分,https://p0.meituan.net/movie/b733ca39f77c529d9a60f7773260dad3454313.jpg@1l_1e_1c_128w_180h
1218273,误杀,Sheep Without a Shepherd,"剧情,犯罪",2020-07-20中国大陆重映,9.4,https://p0.meituan.net/movie/22857bface4d3e8586c8f45858d4fa92662013.jpg@1l_1e_1c_128w_180h
344264,战狼2,Wolf Warrior 2,"动作,战争",2020-07-20中国大陆重映,9.7,https://p0.meituan.net/movie/0355f74de087b699b85b7daa3d7881ec365712.jpg@1l_1e_1c_128w_180h
1251639,毒液2,Venom 2,"动作,科幻,惊悚,恐怖",2020-06-25美国上映,暂无评分,https://p0.meituan.net/movie/fd908bd34547de15f25b32d3a88b5b4366513.jpg@1l_1e_1c_128w_180h
267,泰坦尼克号,Titanic,"剧情,爱情,灾难",1998-04-03中国大陆上映,9.4,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@1l_1e_1c_128w_180h
342068,寻梦环游记,Coco,"动画,冒险,家庭",2020-07-20中国大陆重映,9.6,https://p1.meituan.net/movie/14f9018b371d94dd812772704613babd475457.jpg@1l_1e_1c_128w_180h
1186082,灰猎犬号,Greyhound,"剧情,战争",2020-07-10美国上映,7.7,https://p0.meituan.net/movie/8d33fed6ebada082a50813f32b82be2e395955.jpg@1l_1e_1c_128w_180h
248172,复仇者联盟4：终局之战,Avengers: Endgame,"动作,冒险,奇幻",2019-04-24中国大陆上映,9.1,https://p0.meituan.net/moviemachine/f7d2ad70eb79d6d9b8a197713db9b8c41711752.jpg@1l_1e_1c_128w_180h
899,当幸福来敲门,The Pursuit of Happyness,"剧情,家庭,传记",2020-07-20中国大陆重映,暂无评分,https://p0.meituan.net/moviemachine/e5daa8748733820faab91102bd0bc4507730353.jpg@1l_1e_1c_128w_180h
343355,恐怖电影院2,The Haunted Cinema2,"恐怖,惊悚",2017-10-20中国大陆上映,4.9,https://p0.meituan.net/movie/913ab2bb77e596faac6e5f5e3831c8a9255571.jpg@1l_1e_1c_128w_180h
246061,哥斯拉2：怪兽之王,Godzilla: King of the Monsters,"科幻,灾难,动作",2019-05-31中国大陆上映,8.5,https://p0.meituan.net/movie/71fba05fbe4912cb70d27b87c3c856393364925.jpg@1l_1e_1c_128w_180h
247949,冰雪奇缘2,Frozen II,"喜剧,动画,冒险",2019-11-22中国大陆上映,9.0,https://p0.meituan.net/moviemachine/58ee13be6dc60bf5e636cf915bbbaaa55787785.jpg@1l_1e_1c_128w_180h
277518,纽约唐人街碎尸案,紐約唐人街碎屍案,剧情,1961中国香港上映,暂无评分,https://p1.meituan.net/movie/c39720873db6092a7a4811ee377e4dd220686.jpg@1l_1e_1c_128w_180h
246591,大鱼海棠,Big Fish & Begonia,"剧情,动画,奇幻",2020-07-20中国大陆重映,8.4,https://p1.meituan.net/movie/9316c3269e405f64cbb6c3e1d553a9b3527095.jpg@1l_1e_1c_128w_180h
125,泰坦尼克号3D,Titanic 3D,"爱情,灾难,剧情",2012-04-10中国大陆上映,9.4,https://p0.meituan.net/movie/85/637119.jpg@1l_1e_1c_128w_180h
1285581,数码宝贝大冒险：最后的进化·羁绊,デジモンアドベンチャー LAST EVOLUTION 絆,"动画,冒险",2020-02-21日本上映,7.5,https://p0.meituan.net/movie/91fbd3b7a8a4304f0b40dbac0139e483170865.jpg@1l_1e_1c_128w_180h
1285808,活着,얼론,灾难,2020-06-24韩国上映,7.0,https://p0.meituan.net/moviemachine/ce48cf62a8968b32289fc15eb749fafd819957.jpg@1l_1e_1c_128w_180h
1277644,两只老虎,Two Tigers,"剧情,喜剧",2019-11-29中国大陆上映,8.0,https://p0.meituan.net/moviemachine/19d48b1fd4f4af5c8c8e1c780a26fa431567220.jpg@1l_1e_1c_128w_180h
1230121,中国机长,The Captain,"剧情,传记",2019-09-30中国大陆上映,9.4,https://p0.meituan.net/movie/cddf92d0ac6a0db837a1bc488b241c42267927.jpg@1l_1e_1c_128w_180h
344869,疯狂的外星人,Crazy Alien,"剧情,喜剧,科幻",2019-02-05中国大陆上映,8.5,https://p0.meituan.net/movie/6a21e35ad7106c60967954b165c09b92915222.jpg@1l_1e_1c_128w_180h
336798,速度与激情：增压,Fast & Furious: Supercharged,"动作,短片",2015-06-25美国上映,7.8,https://p0.meituan.net/movie/de9c7b6a0afa18a196b14867e5f3385f176111.jpg@1l_1e_1c_128w_180h
1321647,黑帮大佬和我的365日,365 dni,情色,2020-02-07波兰上映,4.6,https://p0.meituan.net/movie/053bc956e9238e8bcafc14f4c3b8915938293.jpg@1l_1e_1c_128w_180h
1278458,鬼灭之刃 兄妹的羁绊,鬼滅の刃 兄妹の絆,"动作,动画,惊悚,奇幻",2019-03-29日本上映,9.2,https://p1.meituan.net/movie/7be345df4908eb75710b87c9cb3adec0166362.jpg@1l_1e_1c_128w_180h
248906,流浪地球,The Wandering Earth,"剧情,冒险,科幻",2019-02-05中国大陆上映,9.2,https://p1.meituan.net/movie/616cd50a33550a9225ac781e52d14ae54967551.jpg@1l_1e_1c_128w_180h
1189879,狮子王,The Lion King,"剧情,动画,冒险",2019-07-12中国大陆上映,8.8,https://p0.meituan.net/moviemachine/7b9b0725ab5feae642e1fbba9fbb90fe3702078.jpg@1l_1e_1c_128w_180h
916,哈利·波特与死亡圣器（下）,Harry Potter and the Deathly Hallows: Part 2,"奇幻,冒险",2011-08-04中国大陆上映,9.0,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@1l_1e_1c_128w_180h
1277939,我和我的祖国,My People，My Country,剧情,2019-09-30中国大陆上映,9.7,https://p0.meituan.net/moviemachine/b2c5c74d33e45745fd3462e44b3698e18336620.jpg@1l_1e_1c_128w_180h
1217041,南方车站的聚会,The Wild Goose Lake,"剧情,犯罪",2019-12-06中国大陆上映,7.9,https://p1.meituan.net/movie/6d1a970c7fefb016006b0af099d8ff38867262.jpg@1l_1e_1c_128w_180h
293,风声,The Message,"惊悚,剧情,犯罪",2020-07-20中国大陆重映,8.3,https://p1.meituan.net/movie/a5f53fc1a2089eb17a5d2d7aea40e8b2277239.jpg@1l_1e_1c_128w_180h
344881,你的名字。,君の名は。,"爱情,动画,奇幻",2016-12-02中国大陆上映,9.2,https://p1.meituan.net/movie/04de313fdd7f3835563d3c4bdfb980735556062.jpg@1l_1e_1c_128w_180h
1324423,因爱而伟大,,"剧情,家庭",,暂无评分,https://p0.meituan.net/moviemachine/516fe3b08da4626f894b6749eb12cc4e990106.jpg@1l_1e_1c_128w_180h
1200486,我不是药神,Dying To Survive,"剧情,喜剧",2018-07-05中国大陆上映,9.6,https://p0.meituan.net/movie/2e6618bf4995f8ca13b3099b109e6eea268867.jpg@1l_1e_1c_128w_180h
474310,哈利·波特禁忌之旅,Harry Potter and the Forbidden Journey,"短片,冒险",2010-06-18美国上映,8.8,https://p0.meituan.net/movie/616aca53817d35c2785e56cd8b6f69c598993.jpg@1l_1e_1c_128w_180h
1281095,紫罗兰永恒花园 外传：永远与自动手记人偶,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,"剧情,动画",2020-01-10中国大陆上映,9.2,https://p0.meituan.net/movie/37e835fdaf68e48dd002b6757374251d6793835.jpg@1l_1e_1c_128w_180h
1210950,小丑回魂2,It: Chapter Two,"剧情,恐怖,奇幻",2019-09-06美国上映,6.5,https://p1.meituan.net/movie/0bb69141afa6cff2555045230b2aa538159730.jpg@1l_1e_1c_128w_180h
1250700,攀登者,The Climbers,"剧情,冒险",2019-09-30中国大陆上映,9.4,https://p0.meituan.net/movie/4c01895cfd53e82f7c3048c407974a6b4739229.jpg@1l_1e_1c_128w_180h
1279731,宠爱,Adoring,"喜剧,爱情,剧情",2019-12-31中国大陆上映,8.9,https://p0.meituan.net/moviemachine/36eda496688542263d9a0f02ac728327823369.jpg@1l_1e_1c_128w_180h
248700,速度与激情8,The Fate of the Furious,"动作,惊悚,犯罪",2017-04-14中国大陆上映,9.3,https://p1.meituan.net/movie/a7002208a13778570778ad26495cabb34541177.jpg@1l_1e_1c_128w_180h
1243239,熊出没·原始时代,Boonie Bears: Blast into the Past,"喜剧,动画,冒险",2019-02-05中国大陆上映,9.1,https://p1.meituan.net/movie/0ca4644c25ff01b7779a06e1ce4f1b011824360.jpg@1l_1e_1c_128w_180h
416,盗梦空间,Inception,"剧情,科幻,悬疑,冒险",2010-09-01中国大陆上映,9.2,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@1l_1e_1c_128w_180h
1249366,航海王：狂热行动,ONE PIECE STAMPEDE,"动画,冒险",2019-10-18中国大陆上映,9.3,https://p0.meituan.net/moviemachine/ff399baffe786445b96e4e3d24fe1eeb675719.jpg@1l_1e_1c_128w_180h
336673,新世纪福音战士新剧场版：终,シン・エヴァンゲリオン劇場版:|▎,"剧情,科幻,动画",2020-06-27日本上映,暂无评分,https://p0.meituan.net/movie/ac1595b2b5a0db64e78b2f75f0af533d337502.jpg@1l_1e_1c_128w_180h
180,唐山大地震,Aftershock,"剧情,历史,灾难",2010-07-22中国大陆上映,8.2,https://p0.meituan.net/movie/1f4bc49ed6c5a3ba23a93ecd68b73da1362146.jpg@1l_1e_1c_128w_180h
1182552,红海行动,Operation Red Sea,"剧情,动作",2018-02-16中国大陆上映,9.4,https://p0.meituan.net/movie/4aa41a512c44f4a7d613c05a8d47fbb0411851.jpg@1l_1e_1c_128w_180h
1198806,釜山行英文版,,剧情,,暂无评分,https://p1.meituan.net/mmdb/b63dca0e54513237d921bed7a6da772c15465.jpg@1l_1e_1c_128w_180h
1190122,叶问4：完结篇,葉問4,"动作,剧情,传记",2019-12-20中国大陆上映,9.4,https://p0.meituan.net/movie/a3d6ca3bdd5b0ddd7016acff9a9f2f2e2805813.jpg@1l_1e_1c_128w_180h
1277950,反贪风暴5,G风暴,"动作,犯罪",2019中国大陆上映,暂无评分,https://p0.meituan.net/movie/37f4012041e4ff2b06fcd8d052269261131968.jpg@1l_1e_1c_128w_180h
1212592,西虹市首富,Hello Mr. Billionaire,喜剧,2018-07-27中国大陆上映,9.2,https://p1.meituan.net/movie/2b41bfe0dd8ce2da9aed193e84727cba160203.jpg@1l_1e_1c_128w_180h
1212,千与千寻,千と千尋の神隠し,"动画,冒险,奇幻,家庭",2019-06-21中国大陆上映,9.3,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@1l_1e_1c_128w_180h
521231,万达，残暴的催眠师,"Wanda, the Sadistic Hypnotist","喜剧,恐怖",1969美国上映,暂无评分,https://p0.meituan.net/movie/83d91860ef34ad2205fda25c50748b03101873.jpg@1l_1e_1c_128w_180h
1332034,最美逆行,,剧情,2020-06-28中国大陆上映,暂无评分,https://p0.meituan.net/moviemachine/4456ee7276eeee6dbd437743735caa09114795.jpg@1l_1e_1c_128w_180h
1261810,战狼三级班,,短片,2017中国大陆上映,暂无评分,https://p0.meituan.net/movie/4e5625b912f756464abb7a70430fa404272515.jpg@1l_1e_1c_128w_180h
344929,前任3：再见前任,The Ex-file: The Return Of The Exes,"喜剧,爱情",2017-12-29中国大陆上映,9.1,https://p1.meituan.net/movie/b550ee8f2d4192015073fc878b141161336659.jpg@1l_1e_1c_128w_180h
345420,英伦对决,The Foreigner,"剧情,动作,犯罪",2017-09-30中国大陆上映,8.4,https://p1.meituan.net/movie/8a476771579bc2bd399db840be5c28e69040634.jpg@1l_1e_1c_128w_180h
1258394,名侦探柯南：绀青之拳,名探偵コナン 紺青の拳,"动画,悬疑,动作",2019-09-13中国大陆上映,8.7,https://p0.meituan.net/moviemachine/b7362f555340906684944957dfc8d5421530646.jpg@1l_1e_1c_128w_180h
1198925,蜘蛛侠：英雄远征,Spider-Man: Far From Home,"动作,冒险,科幻",2019-06-28中国大陆上映,9.0,https://p0.meituan.net/moviemachine/48fdec1c3f34533f1e1b907c5e8a61f01905931.jpg@1l_1e_1c_128w_180h
893936,小黄人大眼萌：神偷奶爸前传,Minions 2,"喜剧,动画",2021-07-02美国上映,暂无评分,https://p0.meituan.net/moviemachine/f4dba95e19fcb04d61f47713ed6aca80668926.jpg@1l_1e_1c_128w_180h
1215605,速度与激情：特别行动,Fast & Furious Presents: Hobbs & Shaw,"动作,惊悚,犯罪",2019-08-23中国大陆上映,8.7,https://p1.meituan.net/movie/648bbced128324a4b4ccf7db6c564a251744344.jpg@1l_1e_1c_128w_180h
1225578,野性的呼唤,Call of the Wild,"剧情,冒险",2020-02-21美国上映,7.2,https://p1.meituan.net/moviemachine/6ca63f0a1b08ee9667dcf0f699b6cf3d216090.jpg@1l_1e_1c_128w_180h
1243361,烈火英雄,The Bravest,"灾难,动作,剧情",2019-08-01中国大陆上映,9.4,https://p0.meituan.net/movie/f75fcb7696d55452e32794b2219700b9840805.jpg@1l_1e_1c_128w_180h
1215201,小丑,Joker,"剧情,惊悚,犯罪",2019-10-04美国上映,8.6,https://p0.meituan.net/moviemachine/7707dc3478f9ab26871688f4964ae45d6672925.jpg@1l_1e_1c_128w_180h
243,阿凡达,Avatar,"动作,科幻,冒险",2010-01-04中国大陆上映,9.0,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@1l_1e_1c_128w_180h
42964,毒液：致命守护者,Venom,"动作,惊悚,科幻",2018-11-09中国大陆上映,9.2,https://p0.meituan.net/movie/363e3a7e614d29b2847ff4e62afcd3f42168651.jpg@1l_1e_1c_128w_180h
248170,复仇者联盟3：无限战争,Avengers:Infinity War,"动作,冒险,科幻",2018-05-11中国大陆上映,9.0,https://p1.meituan.net/movie/266d24fe8567632e078b3717a096d104359095.jpg@1l_1e_1c_128w_180h
53004,泰坦尼克号2,Titanic II,"喜剧,短片",2002-04-20美国上映,5.0,https://p1.meituan.net/movie/5aacbe1913ef8656a1c51961f7c2dbb144948.jpg@1l_1e_1c_128w_180h
1212490,战神诀,,战争,2019中国大陆上映,暂无评分,https://p0.meituan.net/moviemachine/bff6b8727558ea5fb9b0f090e6c4269a1075754.jpg@1l_1e_1c_128w_180h
1229534,银河补习班,Looking up,"剧情,家庭",2019-07-18中国大陆上映,9.4,https://p0.meituan.net/movie/bb9f75599bfbb2c4cf77ad9abae1b95c1376927.jpg@1l_1e_1c_128w_180h
262,复仇者联盟,The Avengers,"动作,科幻,奇幻,冒险",2012-05-05中国大陆上映,8.7,https://p0.meituan.net/movie/4286d8614c24fd6310266847c0314613419936.jpg@1l_1e_1c_128w_180h
1250885,对不起，我们错过了你,Sorry We Missed You,"剧情,家庭",2019-06-18中国大陆上映,7.8,https://p0.meituan.net/movie/45bf4070449fc4b4fcbbf15c8138ae14146934.jpg@1l_1e_1c_128w_180h
903973,我们的时间就在当前,Unsere Zeit ist jetzt,喜剧,2016-10-06德国上映,6.0,https://p0.meituan.net/movie/50e18fa50b7998d551916baad5401bc5188203.jpg@1l_1e_1c_128w_180h
414997,命运之夜——天之杯II ：迷失之蝶,Fate/stay night [Heaven' s Feel] Ⅱ. lost butterfly,"剧情,动画,奇幻",2019-07-12中国大陆上映,9.0,https://p0.meituan.net/movie/7b40e56e644cd04915e6e9cc09c1bdb1331242.jpg@1l_1e_1c_128w_180h
1301478,北平会馆,BEIJING GUILD HALL,"惊悚,恐怖,悬疑",,暂无评分,https://p0.meituan.net/movie/110b6a741971ad54dc3dd71781bac2d4198373.jpg@1l_1e_1c_128w_180h
1262682,辉夜大小姐想让我告白,かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,"喜剧,爱情",2019-09-06日本上映,7.2,https://p1.meituan.net/moviemachine/284bf26484f2116a1240dfa11657240e543893.jpg@1l_1e_1c_128w_180h
